,0
RAXGFX_USD,"Foreign Exchange, US Dollars"
RAXGFXAR_USD,"Allocated Reserves, US Dollars"
RAXGFXARAUD_USD,"Allocated Reserves, Claims in Australian dollars, US Dollars"
RAXGFXARCAD_USD,"Allocated Reserves, Claims in Canadian dollars, US Dollars"
RAXGFXARDEM_USD,"Allocated Reserves, Claims in Deutsche mark, US Dollars"
RAXGFXARECU_USD,"Allocated Reserves, Claims in ECUs, US Dollars"
RAXGFXAREURO_USD,"Allocated Reserves, Claims in Euro, US Dollars"
RAXGFXARFRF_USD,"Allocated Reserves, Claims in French francs, US Dollars"
RAXGFXARJPY_USD,"Allocated Reserves, Claims in Japanese yen, US Dollars"
RAXGFXARNLG_USD,"Allocated Reserves, Claims in Netherlands guilder, US Dollars"
RAXGFXARGBP_USD,"Allocated Reserves, Claims in Pounds sterling, US Dollars"
RAXGFXARCHF_USD,"Allocated Reserves, Claims in Swiss francs, US Dollars"
RAXGFXARUSD_USD,"Allocated Reserves, Claims in U.S. dollars, US Dollars"
RAXGFXAROC_USD,"Allocated Reserves, Claims in Other currencies, US Dollars"
RAXGFXUR_USD,"Unallocated Reserves, US Dollars"
RAXGFXARRT_PT,"Shares of Allocated Reserves, Percent"
RAXGFXARAUDRT_PT,"Shares of Allocated Reserves, Shares of Australian dollars, Percent"
RAXGFXARCADRT_PT,"Shares of Allocated Reserves, Shares of Canadian dollars, Percent"
RAXGFXARDEMRT_PT,"Shares of Allocated Reserves, Shares of Deutsche mark, Percent"
RAXGFXARECURT_PT,"Shares of Allocated Reserves, Shares of ECUs, Percent"
RAXGFXAREURORT_PT,"Shares of Allocated Reserves, Shares of Euro, Percent"
RAXGFXARFRFRT_PT,"Shares of Allocated Reserves, Shares of French francs, Percent"
RAXGFXARJPYRT_PT,"Shares of Allocated Reserves, Shares of Japanese yen, Percent"
RAXGFXARNLGRT_PT,"Shares of Allocated Reserves, Shares of Netherlands guilders, Percent"
RAXGFXARGBPRT_PT,"Shares of Allocated Reserves, Shares of Pounds sterling, Percent"
RAXGFXARCHFRT_PT,"Shares of Allocated Reserves, Shares of Swiss francs, Percent"
RAXGFXARUSDRT_PT,"Shares of Allocated Reserves, Shares of U.S. dollars, Percent"
RAXGFXAROCRT_PT,"Shares of Allocated Reserves, Shares of Other currencies, Percent"
RAXGFXURRT_PT,"Shares of Unallocated Reserves, Percent"
RAXGFXARCNY_USD,"Allocated Reserves, Claims in Chinese Renminbi, US Dollars"
RAXGFXARCNYRT_PT,"Shares of Allocated Reserves, Shares of Chinese Renminbi, Percent"
