,0
PCPI_IX,"Consumer Price Index, All items"
PCPIF_IX,Food and non-alcoholic beverages
PCPIFBT_IX,"Alcoholic Beverages, Tobacco, and Narcotics"
PCPIA_IX,Clothing and footwear
PCPIH_IX,"Housing, Water, Electricity, Gas and Other Fuels"
PCPIHO_IX,"Furnishings, household equipment and routine household maintenance"
PCPIM_IX,Health
PCPIT_IX,Transport
PCPIEC_IX,Communication
PCPIR_IX,Recreation and culture
PCPIED_IX,Education
PCPIRE_IX,Restaurants and hotels
PCPIO_IX,Miscellaneous goods and services
PCPI_OLP_IX,"Consumer Price Index, All items, Overlap"
PCPIF_OLP_IX,"Food and non-alcoholic beverages, Overlap"
PCPIFBT_OLP_IX,"Alcoholic Beverages, Tobacco, and Narcotics, Overlap"
PCPIA_OLP_IX,"Clothing and footwear, Overlap"
PCPIH_OLP_IX,"Housing, Water, Electricity, Gas and Other Fuels, Overlap"
PCPIHO_OLP_IX,"Furnishings, household equipment and routine household maintenance, Overlap"
PCPIM_OLP_IX,"Health, Overlap"
PCPIT_OLP_IX,"Transport, Overlap"
PCPIEC_OLP_IX,"Communication, Overlap"
PCPIR_OLP_IX,"Recreation and culture, Overlap"
PCPIED_OLP_IX,"Education, Overlap"
PCPIRE_OLP_IX,"Restaurants and hotels, Overlap"
PCPIO_OLP_IX,"Miscellaneous goods and services, Overlap"
PCPIF_WT,"Food and non-alcoholic beverages, Weight"
PCPIFBT_WT,"Alcoholic Beverages, Tobacco, and Narcotics, Weight"
PCPIA_WT,"Clothing and footwear, Weight"
PCPIH_WT,"Housing, Water, Electricity, Gas and Other Fuels, Weight"
PCPIHO_WT,"Furnishings, household equipment and routine household maintenance, Weight"
PCPIM_WT,"Health, Weight"
PCPIT_WT,"Transport, Weight"
PCPIEC_WT,"Communication, Weight"
PCPIR_WT,"Recreation and culture, Weight"
PCPIED_WT,"Education, Weight"
PCPIRE_WT,"Restaurants and hotels, Weight"
PCPIO_WT,"Miscellaneous goods and services, Weight"
PCPIHA_IX,"Consumer Price Index, All items, Harmonized"
PCPIHAF_IX,"Food and non-alcoholic beverages, Harmonized"
PCPIHABT_IX,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized"
PCPIHAA_IX,"Clothing and footwear, Harmonized"
PCPIHAH_IX,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized"
PCPIHAHO_IX,"Furnishings, household equipment and routine household maintenance, Harmonized"
PCPIHAM_IX,"Health, Harmonized"
PCPIHAT_IX,"Transport, Harmonized"
PCPIHAC_IX,"Communication, Harmonized"
PCPIHARC_IX,"Recreation and culture, Harmonized"
PCPIHAED_IX,"Education, Harmonized"
PCPIHARE_IX,"Restaurants and hotels, Harmonized"
PCPIHAO_IX,"Miscellaneous goods and services, Harmonized"
PCPIHA_OLP_IX,"Consumer Price Index, All items, Harmonized, Overlap"
PCPIHAF_OLP_IX,"Food and non-alcoholic beverages, Harmonized, Overlap"
PCPIHABT_OLP_IX,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Overlap"
PCPIHAA_OLP_IX,"Clothing and footwear, Harmonized, Overlap"
PCPIHAH_OLP_IX,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Overlap"
PCPIHAHO_OLP_IX,"Furnishings, household equipment and routine household maintenance, Harmonized, Overlap"
PCPIHAM_OLP_IX,"Health, Harmonized, Overlap"
PCPIHAT_OLP_IX,"Transport, Harmonized, Overlap"
PCPIHAC_OLP_IX,"Communication, Harmonized, Overlap"
PCPIHARC_OLP_IX,"Recreation and culture, Harmonized, Overlap"
PCPIHAED_OLP_IX,"Education, Harmonized, Overlap"
PCPIHARE_OLP_IX,"Restaurants and hotels, Harmonized, Overlap"
PCPIHAO_OLP_IX,"Miscellaneous goods and services, Harmonized, Overlap"
PCPIHAF_WT,"Food and non-alcoholic beverages, Harmonized, Weight"
PCPIHABT_WT,"Alcoholic Beverages, Tobacco, and Narcotics, Harmonized, Weight"
PCPIHAA_WT,"Clothing and footwear, Harmonized, Weight"
PCPIHAH_WT,"Housing, Water, Electricity, Gas and Other Fuels, Harmonized, Weight"
PCPIHAHO_WT,"Furnishings, household equipment and routine household maintenance, Harmonized, Weight"
PCPIHAM_WT,"Health, Harmonized, Weight"
PCPIHAT_WT,"Transport, Harmonized, Weight"
PCPIHAC_WT,"Communication, Harmonized, Weight"
PCPIHARC_WT,"Recreation and culture, Harmonized, Weight"
PCPIHAED_WT,"Education, Harmonized, Weight"
PCPIHARE_WT,"Restaurants and hotels, Harmonized, Weight"
PCPIHAO_WT,"Miscellaneous goods and services, Harmonized, Weight"
PCPI_SRP_IX,"Consumer Price Index, All items, Standard Reference Period"
PCPIF_SRP_IX,"Food and non-alcoholic beverages, Standard Reference Period"
PCPIFBT_SRP_IX,"Alcoholic Beverages, Tobacco, and Narcotics, Standard Reference Period"
PCPIA_SRP_IX,"Clothing and footwear, Standard Reference Period"
PCPIH_SRP_IX,"Housing, Water, Electricity, Gas and Other Fuels, Standard Reference Period"
PCPIHO_SRP_IX,"Furnishings, household equipment and routine household maintenance, Standard Reference Period"
PCPIM_SRP_IX,"Health, Standard Reference Period"
PCPIT_SRP_IX,"Transport, Standard Reference Period"
PCPIEC_SRP_IX,"Communication, Standard Reference Period"
PCPIR_SRP_IX,"Recreation and culture, Standard Reference Period"
PCPIED_SRP_IX,"Education, Standard Reference Period"
PCPIRE_SRP_IX,"Restaurants and hotels, Standard Reference Period"
PCPIO_SRP_IX,"Miscellaneous goods and services, Standard Reference Period"
PCPI_PC_PP_PT,"Consumer Price Index, All items, Percentage change, Previous period"
PCPIF_PC_PP_PT,"Food and non-alcoholic beverages, Percentage change, Previous period"
PCPIFBT_PC_PP_PT,"Alcoholic Beverages, Tobacco, and Narcotics, Percentage change, Previous period"
PCPIA_PC_PP_PT,"Clothing and footwear, Percentage change, Previous period"
PCPIH_PC_PP_PT,"Housing, Water, Electricity, Gas and Other Fuels, Percentage change, Previous period"
PCPIHO_PC_PP_PT,"Furnishings, household equipment and routine household maintenance, Percentage change, Previous period"
PCPIM_PC_PP_PT,"Health, Percentage change, Previous period"
PCPIT_PC_PP_PT,"Transport, Percentage change, Previous period"
PCPIEC_PC_PP_PT,"Communication, Percentage change, Previous period"
PCPIR_PC_PP_PT,"Recreation and culture, Percentage change, Previous period"
PCPIED_PC_PP_PT,"Education, Percentage change, Previous period"
PCPIRE_PC_PP_PT,"Restaurants and hotels, Percentage change, Previous period"
PCPIO_PC_PP_PT,"Miscellaneous goods and services, Percentage change, Previous period"
PCPI_PC_CP_A_PT,"Consumer Price Index, All items, Percentage change, Previous year"
