,0
LP_NUM,Adult Population
LPAF_NUM,"Total Population, Female"
LPAM_NUM,"Total Population, Male"
FODMANCH_XDC,"Claims on nonfinancial corporations and households, Domestic Currency"
FODMANCH_EUR,"Claims on nonfinancial corporations and households, Euros"
FODMANCH_USD,"Claims on nonfinancial corporations and households, US Dollars"
FCMOA_NUM,"Geographical Outreach, Mobile Money, Number of active mobile money agent outlets"
FCMOR_NUM,"Geographical Outreach, Mobile Money, Number of registered mobile money agent outlets"
FCAC_NUM,"Geographical Outreach, Number of Automated Teller Machines (ATMs), Country wide, Number of"
FCBODC_NUM,"Geographical Outreach, Number of Branches, Excluding Headquarters, Other Depository Corporations, Commercial banks, Number of"
FCBODU_NUM,"Geographical Outreach, Number of Branches, Excluding Headquarters, Other Depository Corporations, Credit unions and credit cooperatives, Number of"
FCBODMF_NUM,"Geographical Outreach, Number of Branches, Excluding Headquarters, Other Depository Corporations, Deposit taking microfinance institutions (MFIs), Number of"
FCBOFNMF_NUM,"Geographical Outreach, Number of Branches, Excluding Headquarters, Non-deposit taking microfinance institutions"
FCBODD_NUM,"Geographical Outreach, Number of Branches, Excluding Headquarters, Other Depository Corporations, Other deposit takers, Number of"
FCIODC_NUM,"Geographical Outreach, Number of Institutions, Other Depository Corporations, Commercial banks, Number of"
FCIODU_NUM,"Geographical Outreach, Number of Institutions, Credit unions and credit cooperatives"
FCIODMF_NUM,"Geographical Outreach, Number of Institutions, Deposit-taking microfinance institutions"
FCIOFI_NUM,"Geographical Outreach, Number of Institutions, Insurance corporations"
FCIOFMFN_NUM,"Geographical Outreach, Number of Institutions, Non-deposit taking microfinance institutions"
FCIODD_NUM,"Geographical Outreach, Number of Institutions, Other deposit takers"
FCROODC_NUM,"Geographical Outreach, Number of Non-branch Retail Agent Outlets, Excluding Headquarters, Commercial banks"
FCAOFINLPA_NUM,"Use of Financial Services: Key indicators, Number of non-life insurance policies, Number of"
FCMOAK_NUM,"Geographical Outreach: Key Indicators, Mobile Banking, Agent Outlets per 1000 km2, Active, Number"
FCMOAA_NUM,"Geographical Outreach: Key Indicators, Mobile Banking, Agent Outlets per 100,000 adults, Active, Number"
FCBAMFK_NUM,"Key Indicators, Geographical Outreach, Number of all microfinance institution branches per 1,000 km2"
FCBAMFA_NUM,"Key Indicators, Geographical Outreach, Number of all microfinance institution branches per 100,000 adults"
FCAK_NUM,"Key Indicators, Geographical Outreach, Number of ATMs per 1,000 km2"
FCAA_NUM,"Key Indicators, Geographical Outreach, Number of ATMs per 100,000 adults"
FCBODCK_NUM,"Key Indicators, Geographical Outreach, Number of commercial bank branches per 1,000 km2"
FCBODCA_NUM,"Key Indicators, Geographical Outreach, Number of commercial bank branches per 100,000 adults"
FCBODUK_NUM,"Key Indicators, Geographical Outreach, Number of credit union and credit cooperative branches per 1,000 km2"
FCBODUA_NUM,"Key Indicators, Geographical Outreach, Number of credit union and credit cooperative branches per 100,000 adults"
FCIOFIA_NUM,"Key Indicators, Geographical Outreach, Number of insurance corporations per 100, 000 adults"
FCROODCK_NUM,"Key Indicators, Geographical Outreach, Number of non-branch retail agent outlets of commercial banks per 1,000 km2"
FCROODCA_NUM,"Key Indicators, Geographical Outreach, Number of non-branch retail agent outlets of commercial banks per 100,000 adults"
FCBODDK_NUM,"Geographical Outreach: Key Indicators, Number of other deposit takers branches per 1000 km2, Number"
FCBODDA_NUM,"Geographical Outreach: Key Indicators, Number of other deposit takers branches per 100,000 adults, Number"
FCMORK_NUM,"Key Indicators, Geographical Outreach, Number of registered mobile money agent outlets per 1,000 km2"
