,0
W2_S13111,Budgetary central government
W2_S121,Central bank
W2_S1311,Central government (excl. social security)
W2_S122,"Deposit taking corporations, except the central bank"
W10_S12D,"External, Financial corporations"
W1_S13,"External, General government"
W1_S1V,"External, Nonfinancial corporations, HHs, & NPISH"
W2_S13112,Extrabudgetary central government
W2_S12,Financial corporations
W2_S13,General government
W2_S1M,Households & NPISH
1A_S1,International organisations
W2_S1313,Local government
W2_S11,Nonfinancial corporations
W2_S12R,Other financial corporations 
W2_S1312,Regional (state/provincial) government
W2_S1314,Social security funds
